Nodes Count          Custom Dijkstra Compute Time (ms)   GraphStream Dijkstra Compute Time (ms)
100                 3                                   3                                  
1100                6                                   4                                  
2100                9                                   6                                  
3100                13                                  21                                 
4100                30                                  18                                 
5100                12                                  7                                  
6100                13                                  8                                  
7100                16                                  10                                 
8100                14                                  8                                  
9100                17                                  10                                 
10100               21                                  12                                 
11100               24                                  14                                 
12100               28                                  15                                 
13100               32                                  18                                 
14100               1                                   10                                 
15100               39                                  18                                 
16100               46                                  20                                 
17100               52                                  22                                 
18100               58                                  24                                 
19100               61                                  26                                 
20100               66                                  24                                 
21100               77                                  45                                 
22100               77                                  32                                 
23100               83                                  33                                 
24100               92                                  47                                 
25100               96                                  38                                 
26100               105                                 38                                 
27100               113                                 42                                 
28100               115                                 41                                 
29100               120                                 39                                 
30100               164                                 45                                 
31100               141                                 51                                 
32100               139                                 43                                 
33100               152                                 48                                 
34100               159                                 47                                 
35100               169                                 52                                 
36100               179                                 53                                 
37100               189                                 81                                 
38100               194                                 59                                 
39100               204                                 55                                 
40100               222                                 62                                 
41100               229                                 63                                 
42100               235                                 62                                 
43100               239                                 65                                 
44100               256                                 79                                 
45100               266                                 80                                 
46100               278                                 148                                
47100               304                                 81                                 
48100               298                                 78                                 
49100               313                                 81                                 
50100               310                                 75                                 
51100               329                                 84                                 
52100               387                                 80                                 
53100               364                                 131                                
54100               410                                 83                                 
55100               383                                 133                                
56100               398                                 93                                 
57100               399                                 95                                 
58100               409                                 95                                 
59100               469                                 102                                
60100               436                                 100                                
61100               467                                 103                                
62100               474                                 134                                
63100               488                                 112                                
64100               503                                 110                                
65100               498                                 109                                
66100               521                                 149                                
67100               558                                 122                                
68100               602                                 118                                
69100               569                                 151                                
70100               583                                 116                                
71100               607                                 126                                
72100               610                                 124                                
73100               673                                 123                                
74100               715                                 150                                
75100               691                                 131                                
76100               721                                 134                                
77100               733                                 141                                
78100               723                                 142                                
79100               845                                 161                                
80100               801                                 153                                
81100               791                                 150                                
82100               810                                 200                                
83100               836                                 167                                
84100               849                                 187                                
85100               866                                 180                                
86100               906                                 164                                
87100               930                                 187                                
88100               908                                 210                                
89100               938                                 168                                
90100               968                                 171                                
91100               975                                 162                                
92100               1007                                175                                
93100               1032                                240                                
94100               1042                                176                                
95100               1097                                179                                
96100               1101                                201                                
97100               1104                                186                                
98100               1145                                216                                
99100               1146                                208                                
100100              1139                                246                                
101100              1183                                246                                
102100              1210                                200                                
103100              1228                                198                                
104100              1246                                227                                
105100              1301                                227                                
106100              1290                                204                                
107100              1411                                217                                
108100              1460                                226                                
109100              1472                                244                                
110100              1461                                240                                
111100              1503                                248                                
112100              1538                                300                                
113100              1585                                293                                
114100              1607                                264                                
115100              1617                                256                                
116100              1574                                268                                
117100              1572                                293                                
118100              1651                                271                                
119100              1628                                267                                
120100              1656                                257                                

